Medicine Name,href,Info
Abacavir ,https://www.medindia.net/doctors/drug_information/abacavir.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase.
Abacavir Sulfate and Lamivudine ,https://www.medindia.net/doctors/drug_information/abacavir_sulfate_lamivudine.htm,"Abacavir and lamivudine is a fixed-dose combination of antiviral drugs used to treat AIDS/HIV infection, particularly in children."
"Abacavir Sulfate, Lamivudine and Zidovudine ",https://www.medindia.net/doctors/drug_information/abacavir_sulfate_lamivudine_zidovudine.htm,"Abacavir Sulfate, Lamivudine, and Zidovudine is a fixed-dose combination prescribed for treating AIDS/HIV infection mainly for pregnant women to reduce the risk of mother to child transmission during pregnancy."
Abaloparatide ,https://www.medindia.net/doctors/drug_information/abaloparatide.htm,Abaloparatide is prescribed to treat osteoporosis in postmenopausal women who are at a high risk for fracture.
Abarelix ,https://www.medindia.net/doctors/drug_information/abarelix.htm,Abarelix is used to treat prostate cancer for reducing the symptoms and to increase the quality of life in patients.
Abatacept ,https://www.medindia.net/doctors/drug_information/abatacept.htm,Abatacept modifies the immune system in patients with rheumatoid arthritis who were not benefited from other treatments.
Abciximab ,https://www.medindia.net/doctors/drug_information/abciximab.htm,Abciximab blocks the sticking of platelets together and protects the arteries by reducing the formation of thrombus or blood clot.
Abemaciclib ,https://www.medindia.net/doctors/drug_information/abemaciclib.htm,Abemaciclib is used alone or with other drugs such as fulvestrant or anastrozole for treating women with advanced breast cancer or breast cancer that has spread to other parts of the body and hormone receptor-positive breast cancer.
Abiraterone Acetate   ,https://www.medindia.net/doctors/drug_information/abiraterone_acetate.htm,Abiraterone acetate is used along with prednisolone (corticosteroid) for treating a type of prostate cancer called metastatic castration-resistant prostate cancer (mCRPC) previously called hormone-resistant cancer.
Abobotulinumtoxin A Injection  ,https://www.medindia.net/doctors/drug_information/abobotulinumtoxin_injection.htm,"Abobotulinumtoxin A Injection is a neurotoxin produced by Clostridium botulinum temporarily reduces the symptoms of cervical dystonia, a condition of overactive muscle movement resulting in tightening of the neck muscles causing neck pain and abnormal head positions."
Acalabrutinib ,https://www.medindia.net/doctors/drug_information/acalabrutinib.htm,Acalabrutinib is prescribed to treat a type of blood cancer called mantle cell lymphoma (MCL) in adult patients who are already treated with one chemotherapy medication.
Acamprosate ,https://www.medindia.net/doctors/drug_information/acamprosate.htm,Acamprosate is used to treat alcohol dependence along with other rehabilitation therapy such as counseling and social support in people who have the intention of avoiding alcohol consumption.
Acarbose ,https://www.medindia.net/doctors/drug_information/acarbose.htm,Acarbose is used to treat diabetes in combination with diet and other medications.
Acebrophylline  ,https://www.medindia.net/doctors/drug_information/acebrophylline.htm,"Acebrophylline is prescribed to reduce the irritation, swelling, and narrowing of the bronchial tubes in patients with asthma, severe or chronic bronchitis, chronic obstructive pulmonary disease (COPD)and tightness of the chest."
Acebutolol  ,https://www.medindia.net/doctors/drug_information/acebutolol.htm,Acebutolol is used to treat high blood pressure and irregular heartbeat.
Aceclofenac ,https://www.medindia.net/doctors/drug_information/aceclofenac.htm,"Aceclofenac is a nonsteroidal anti-inflammatory drug (NSAID), prescribed for fever and to relieve pain and swelling in osteoarthritis, rheumatoid arthritis, and ankylosing spondylitis."
Acenocoumarol ,https://www.medindia.net/doctors/drug_information/acenocoumarol.htm,Acenocoumarol is a blood thinner agent prescribed to treat or prevent the formation of blood clots or thrombus in the blood vessels helps by dissolving the blood clots and reducing the complication of thromboembolic disorders.
Acetaminophen and Codeine ,https://www.medindia.net/doctors/drug_information/acetaminophen_codeine.htm,"Acetaminophen and codeine is a combination of non-opiate and opioid (opium-like sleep inducing) analgesics used to treat patients with fever, headache and helps to suppress the cough symptoms by acting on the cough center in the brain."
Acetaminophen and Hydrocodone Bitartrate           ,https://www.medindia.net/doctors/drug_information/acetaminophen_hydrocodone_bitartrate.htm,Acetaminophen and hydrocodone is a combination of non-opioid and narcotic or sleep-inducing agents used to treat moderate to severe pain associated with inflammation.
Acetaminophen and Oxycodone                        ,https://www.medindia.net/doctors/drug_information/acetaminophen_oxycodone.htm,Acetaminophen and oxycodone is a combination of pain-relieving medications including non-opioid and narcotic or sleep-inducing drugs help to relieve moderate to severe pain.
Acetaminophen and Propoxyphene ,https://www.medindia.net/doctors/drug_information/acetaminophen_propoxyphene.htm,"Acetaminophen or paracetamol helps to treat fever, reduce mild to moderate pain and propoxyphene is a narcotic (sleep-inducing) analgesic prescribed for treating moderate to severe pain."
Acetaminophen or Paracetamol ,https://www.medindia.net/doctors/drug_information/acetaminophen_paracetamol.htm,Acetaminophen or paracetamol helps to reduce fever and to relieve a headache with mild to moderate pain.
"Acetaminophen, Butalbital and Caffeine ",https://www.medindia.net/doctors/drug_information/acetaminophen_butalbital_caffeine.htm,"Acetaminophen, butalbital, and caffeine combination are used to treat a tension headache caused due to muscle contractions."
Acetazolamide                                      ,https://www.medindia.net/doctors/drug_information/acetazolamide.htm,Acetazolamide is prescribed to treat excess fluid accumulation due to congestive heart failure.
Acetohexamide  ,https://www.medindia.net/doctors/drug_information/acetohexamide.htm,Acetohexamide is used to treat type 2 diabetes mellitus for controlling the high blood sugar level together with diet and exercise.
Acetylcysteine ,https://www.medindia.net/doctors/drug_information/acetylcysteine.htm,"Acetylcysteine reduces the mucus plugging by breaking down the thick mucus in the airways and facilitates breathing in conditions like chronic bronchopulmonary disease and cystic fibrosis, a disorder that affects lungs."
Acitretin ,https://www.medindia.net/doctors/drug_information/acitretin.htm,"Acitretin is a retinoid related to vitamin A prescribed for adults with severe psoriasis which involves red, scaly or thickened skin with abnormal growth of skin cells."
Aclarubicin ,https://www.medindia.net/doctors/drug_information/aclarubicin.htm,"Aclarubicin or aclacinomycin A is used to treat acute non lymphocytic leukemia, a cancer of the blood and bone marrow."
Aclidinium Bromide Oral Inhalation ,https://www.medindia.net/doctors/drug_information/aclidinium_bromide_oral_inhalation.htm,"Aclidinium Bromide Oral Inhalation is used for the long-term maintenance treatment of bronchospasm or sudden constriction of the airways associated with chronic obstructive pulmonary disease (COPD), chronic bronchitis, and emphysema or damaged air sacs in the lungs."
Acrivastine ,https://www.medindia.net/doctors/drug_information/acrivastine.htm,"Acrivastine is an antiallergic drug used to treat hay fever causing sneezing and watery eyes, itchy red eye due to allergic conjunctivitis,  hives, and eczema."
